typeID,regionID,date,lowPrice,highPrice,avgPrice,volume,orders
34,10000043,2014-07-28,5.1,5.2,5.14,3899443127,1061
34,10000002,2014-07-29,5.2699,5.43,5.38,11564516596,2451
34,10000030,2014-07-29,3.33,6.29,5.2025,1363351127,772
34,10000032,2014-07-29,5.3,5.3,5.3,1744786246,1071
34,10000042,2014-07-29,5.28,5.28,5.28,579485714,536
34,10000043,2014-07-29,4.99,5.1,5.08,3635049822,1109
34,10000002,2014-07-30,5.22,5.38,5.3,9228938863,2334
34,10000030,2014-07-30,5.09,5.3,5.16,513242672,634
34,10000032,2014-07-30,5.0599,5.24,5.12,1997107196,1003
34,10000042,2014-07-30,5.2,5.26,5.25,1053176256,469
34,10000043,2014-07-30,5.01,5.17,5.07,4312775521,943
34,10000002,2014-07-31,5.22,5.47,5.39,13341962764,2219
34,10000030,2014-07-31,5.22,5.25,5.23,935577516,706
34,10000032,2014-07-31,4.92,5.0,4.93,1516101620,937
34,10000042,2014-07-31,5.25,5.34,5.3099,839871382,523
34,10000043,2014-07-31,5.01,5.15,5.05,4051261163,888
34,10000002,2014-08-01,5.2699,5.44,5.33,13059833378,2199
34,10000030,2014-08-01,5.2,5.23,5.21,943638655,747
34,10000032,2014-08-01,4.95,5.22,5.1,1569912842,927
34,10000042,2014-08-01,5.22,5.39,5.29,1515394576,514
34,10000043,2014-08-01,4.89,5.1,5.01,3884364160,959
34,10000002,2014-08-02,4.0,3000.0,5.2043,17115853239,2349
34,10000030,2014-08-02,4.75,5.07,5.03,1180537489,776
34,10000032,2014-08-02,5.08,5.29,5.2,903881468,1020
34,10000042,2014-08-02,5.16,5.16,5.16,792878980,531
34,10000043,2014-08-02,5.03,5.18,5.07,3443616439,998
34,10000002,2014-08-03,5.22,5.32,5.29,10404726926,2495
34,10000030,2014-08-03,4.82,5.04,5.0199,1009989813,873
34,10000032,2014-08-03,5.18,5.2,5.19,1821224236,1165
34,10000042,2014-08-03,5.0,5.14,5.01,1186166971,601
34,10000043,2014-08-03,4.9,5.09,5.01,3786819439,1118
34,10000002,2014-08-04,5.25,5.3,5.2699,16527947347,2202
34,10000030,2014-08-04,5.03,5.05,5.04,2350377830,611
34,10000032,2014-08-04,5.04,5.2,5.19,2051650256,1040
34,10000042,2014-08-04,4.75,5.12,5.0,846620807,506
34,10000043,2014-08-04,4.99,5.12,5.03,3373676219,887
34,10000002,2014-08-05,3.39,4985.0,5.2771,12983512293,2195
34,10000030,2014-08-05,5.0199,5.15,5.08,715029995,697
34,10000032,2014-08-05,5.05,5.15,5.0599,1550083966,1009
34,10000042,2014-08-05,4.95,5.12,4.98,471732412,498
34,10000043,2014-08-05,4.89,5.05,4.96,2699452298,902
34,10000002,2014-08-06,5.34,5.45,5.4,15755928736,2207
34,10000030,2014-08-06,5.1,5.15,5.13,1207423935,699
34,10000032,2014-08-06,5.05,5.12,5.07,1308516244,907
34,10000042,2014-08-06,4.9,5.1,5.0,721357263,529
34,10000043,2014-08-06,4.99,5.07,5.01,3501350964,882
34,10000002,2014-08-07,5.37,5.48,5.43,8044431068,1959
34,10000030,2014-08-07,5.09,5.15,5.1,1232634677,656
34,10000032,2014-08-07,5.0599,5.14,5.12,1277280992,848
34,10000042,2014-08-07,5.01,5.18,5.1,505240416,421
34,10000043,2014-08-07,5.05,5.21,5.1,2375483379,855
34,10000002,2014-08-08,5.38,5.48,5.4,8708027526,2006
34,10000030,2014-08-08,4.95,5.0,4.98,1032548226,684
34,10000032,2014-08-08,5.0,5.19,5.04,1539106301,887
34,10000042,2014-08-08,4.89,5.19,5.01,663417006,443
34,10000043,2014-08-08,5.09,5.14,5.11,3704139494,929
34,10000002,2014-08-09,5.33,5.45,5.36,13740687597,2303
34,10000030,2014-08-09,5.0,5.0199,5.0,2199912298,824
34,10000032,2014-08-09,4.9,5.13,5.05,910624584,1025
34,10000042,2014-08-09,4.5,5.01,4.9,827869878,507
34,10000043,2014-08-09,5.15,5.23,5.2,3642754302,1181
34,10000002,2014-08-10,5.3099,5.37,5.34,10251066600,2295
34,10000030,2014-08-10,4.98,4.98,4.98,1482880035,765
34,10000032,2014-08-10,4.99,5.0199,5.0,2112548512,1082
34,10000042,2014-08-10,4.8099,5.0,4.89,495506050,619
34,10000043,2014-08-10,5.11,5.36,5.2,3345763973,1174
34,10000002,2014-08-11,5.33,5.4,5.39,11637463361,2072
34,10000030,2014-08-11,4.98,5.09,5.0599,1213694365,602
34,10000032,2014-08-11,5.0,5.11,5.0199,1174896090,920
34,10000042,2014-08-11,4.91,5.0,4.98,721351999,466
34,10000043,2014-08-11,5.13,5.2,5.15,3517585040,928
34,10000002,2014-08-12,5.3099,5.4,5.38,9058348696,1634
34,10000030,2014-08-12,5.03,5.05,5.05,1510897020,552
34,10000032,2014-08-12,5.03,5.03,5.03,885596788,665
34,10000042,2014-08-12,4.7699,5.05,4.99,546952776,393
34,10000043,2014-08-12,5.13,5.26,5.16,2508877050,759
34,10000002,2014-08-13,5.28,5.41,5.3,9832880822,2228
34,10000030,2014-08-13,5.04,5.1,5.09,1132488748,615
34,10000032,2014-08-13,4.8,5.05,4.82,1426630738,828
34,10000042,2014-08-13,4.95,5.16,5.05,559659635,589
34,10000043,2014-08-13,5.15,5.15,5.15,2980538775,872
34,10000002,2014-08-14,5.29,5.39,5.33,13128433862,2082
34,10000030,2014-08-14,5.03,5.09,5.04,1536059794,568
34,10000032,2014-08-14,4.98,5.15,5.03,1185566772,866
34,10000042,2014-08-14,5.09,5.11,5.09,1514862294,455
34,10000043,2014-08-14,5.13,5.4,5.15,4107866644,891
34,10000002,2014-08-15,5.32,5.41,5.35,11626657015,2037
34,10000030,2014-08-15,5.0199,5.09,5.0599,1589894360,726
34,10000032,2014-08-15,4.89,5.11,5.0,951713917,780
34,10000042,2014-08-15,4.9,5.1,5.0,1267617313,499
34,10000043,2014-08-15,5.13,5.21,5.16,4256279577,860
34,10000002,2014-08-16,5.33,5.43,5.39,13554586911,2195
34,10000030,2014-08-16,5.04,5.08,5.0599,1444204063,744
34,10000032,2014-08-16,5.0,5.19,5.08,1369486146,966
34,10000042,2014-08-16,4.99,5.1,5.0,404119945,485
34,10000043,2014-08-16,5.2,5.32,5.21,3463647214,968
34,10000002,2014-08-17,5.3099,5.4,5.38,15247198141,2440
34,10000030,2014-08-17,5.03,5.13,5.05,1646341994,860
34,10000032,2014-08-17,5.01,5.15,5.09,1595645511,1005
34,10000042,2014-08-17,4.85,4.88,4.85,939803312,558
34,10000043,2014-08-17,5.14,5.23,5.19,3509538026,1101
34,10000002,2014-08-18,5.3,5.42,5.38,11632210905,1996
34,10000030,2014-08-18,5.01,5.07,5.03,2000045833,698
34,10000032,2014-08-18,5.21,5.22,5.22,2127950410,890
34,10000042,2014-08-18,4.86,5.1,5.09,624548053,460
34,10000043,2014-08-18,5.16,5.2,5.17,4013956255,862
34,10000002,2014-08-19,5.32,5.39,5.37,10229873296,2052
34,10000030,2014-08-19,4.92,5.05,5.0199,921739961,615
34,10000032,2014-08-19,5.21,5.24,5.23,1795554411,808
34,10000042,2014-08-19,4.78,5.09,4.97,741347005,461
34,10000043,2014-08-19,5.17,5.22,5.19,2804433983,884
34,10000002,2014-08-20,5.29,5.38,5.3099,13097816147,2027
34,10000030,2014-08-20,5.07,5.21,5.11,653967629,597
34,10000032,2014-08-20,5.13,5.23,5.18,1489287788,815
34,10000042,2014-08-20,5.09,5.09,5.09,1369346075,513
34,10000043,2014-08-20,5.23,5.25,5.24,3208490698,894
34,10000002,2014-08-21,5.32,5.37,5.36,8533648000,1575
34,10000030,2014-08-21,5.1,5.11,5.1,759346341,522
